timestamp,yes,no
2025-04-16 00:00:05,0.495,0.505
2025-04-17 00:00:06,0.0065,0.9935
2025-04-18 00:00:04,0.006,0.994
2025-04-19 00:00:06,0.007,0.993
2025-04-20 00:00:06,0.0065,0.9935
2025-04-21 00:00:06,0.0065,0.9935
2025-04-22 00:00:06,0.0065,0.9935
2025-04-23 00:00:07,0.006,0.994
2025-04-24 00:00:06,0.006,0.994
2025-04-25 00:00:06,0.0055,0.9945
2025-04-26 00:00:06,0.0065,0.9935
2025-04-27 00:00:05,0.0065,0.9935
2025-04-28 00:00:05,0.012,0.988
2025-04-29 00:00:05,0.0115,0.9885
2025-04-30 00:00:06,0.012,0.988
2025-05-01 00:00:06,0.011,0.989
2025-05-02 00:00:06,0.005,0.995
2025-05-03 00:00:06,0.005,0.995
2025-05-04 00:00:05,0.0045,0.9955
