timestamp,yes,no
2024-03-30 00:00:02,0.0345,0.9655
2024-03-31 00:00:03,0.0335,0.9665
2024-04-01 00:00:02,0.0345,0.9655
2024-04-02 00:00:03,0.0255,0.9745
2024-04-03 00:00:03,0.0165,0.9835
2024-04-04 00:00:03,0.0165,0.9835
2024-04-05 00:00:03,0.016,0.984
2024-04-06 00:00:03,0.012,0.988
2024-04-07 00:00:02,0.0135,0.9865
2024-04-08 00:00:03,0.0125,0.9875
2024-04-09 00:00:03,0.013,0.987
2024-04-10 00:00:03,0.0125,0.9875
2024-04-11 00:00:03,0.0115,0.9885
2024-04-12 00:00:03,0.0105,0.9895
2024-04-13 00:00:02,0.011,0.989
2024-04-14 00:00:03,0.0105,0.9895
2024-04-15 00:00:03,0.012,0.988
2024-04-16 00:00:03,0.012,0.988
2024-04-17 00:00:03,0.0115,0.9885
2024-04-18 00:00:03,0.0115,0.9885
2024-04-19 00:00:03,0.012,0.988
2024-04-20 00:00:02,0.0125,0.9875
2024-04-21 00:00:03,0.0125,0.9875
2024-04-22 00:00:03,0.012,0.988
2024-04-23 00:00:02,0.01,0.99
2024-04-24 00:00:03,0.009,0.991
2024-04-25 00:00:03,0.008,0.992
2024-04-26 00:00:02,0.006,0.994
2024-04-27 00:00:03,0.006,0.994
2024-04-28 00:00:03,0.0055,0.9945
2024-04-29 00:00:03,0.005,0.995
2024-04-30 00:00:04,0.0035,0.9965
2024-05-01 00:00:03,0.001,0.999
